run_kind,run_index,seed,step,operation,actor_seat,revision_before,revision_after,reference_rule_ns,authority_handle_ns,serial_codec_fanout_ns,host_local_deliveries,remote_deliveries,remote_server_payload_bytes,remote_client_payload_bytes
"sample","2","20260910","14","PLAY_ONE","2","13","14","26350","70222","1059154","1","6","8883","172"
"sample","2","20260910","15","PLAY_ONE","3","14","15","24666","82364","1180731","1","6","8854","172"
"sample","2","20260910","16","PLAY_ONE","4","15","16","26189","71694","1015553","1","6","8825","172"
"sample","2","20260910","17","PLAY_ONE","5","16","17","27040","70151","1026943","1","6","8798","172"
"sample","2","20260910","18","CHALLENGE","0","17","18","97713","75161","1194168","2","5","9513","0"
"sample","2","20260910","19","ADVANCE_ROUND","0","18","19","51937","90550","1022285","2","5","9638","0"
"sample","2","20260910","20","PLAY_ONE","1","19","20","45254","81793","1139464","1","6","9898","172"
"sample","2","20260910","21","CHALLENGE","2","20","21","14468","57097","1601570","1","6","9785","151"
"sample","2","20260910","22","ADVANCE_ROUND","0","21","22","92183","109305","1277443","2","5","9638","0"
"sample","2","20260910","23","PLAY_ONE","2","22","23","35327","72475","1487196","1","6","9898","172"
"sample","2","20260910","24","CHALLENGE","3","23","24","20047","69710","1443103","1","6","9656","151"
"sample","2","20260910","25","ADVANCE_ROUND","0","24","25","39284","116939","1201230","2","5","9474","0"
"sample","2","20260910","26","PLAY_ONE","3","25","26","23334","80170","1231056","1","6","9733","172"
"sample","2","20260910","27","CHALLENGE","4","26","27","15810","82083","1498547","1","6","9625","151"
"sample","2","20260910","28","ADVANCE_ROUND","0","27","28","39925","112782","1119177","2","5","9479","0"
"sample","2","20260910","29","PLAY_ONE","4","28","29","22883","69430","1247877","1","6","9738","172"
"sample","2","20260910","30","CHALLENGE","5","29","30","17382","66885","1473611","1","6","9625","151"
"sample","2","20260910","31","ADVANCE_ROUND","0","30","31","58890","106510","1317478","2","5","9482","0"
"sample","2","20260910","32","PLAY_ONE","5","31","32","23063","88235","1191101","1","6","9744","172"
"sample","2","20260910","33","CHALLENGE","0","32","33","17392","89558","1219715","2","5","9345","0"
"sample","2","20260910","34","ADVANCE_ROUND","0","33","34","37831","103714","1055717","2","5","9324","0"
"sample","2","20260910","35","PLAY_ONE","0","34","35","22994","76052","1091985","2","5","9457","0"
"sample","2","20260910","36","CHALLENGE","1","35","36","18624","64952","1303512","1","6","9340","151"
"sample","2","20260910","37","ADVANCE_ROUND","0","36","37","260408","79328","1049206","2","5","9162","0"
"sample","2","20260910","38","PLAY_ONE","3","37","38","22923","70472","1129957","1","6","9422","172"
"sample","2","20260910","39","CHALLENGE","4","38","39","15749","58640","1228952","1","6","9314","151"
"sample","2","20260910","40","ADVANCE_ROUND","0","39","40","24005","71524","1046100","2","5","9163","0"
"sample","2","20260910","41","PLAY_ONE","4","40","41","24126","81413","1716295","1","6","9425","172"
"sample","2","20260910","42","CHALLENGE","0","41","42","16521","68759","1332335","2","5","9155","0"
"sample","2","20260910","43","ADVANCE_ROUND","0","42","43","25588","88055","1061588","2","5","9186","0"
"sample","2","20260910","44","PLAY_ONE","0","43","44","21821","73508","1090763","2","5","9319","0"
"sample","2","20260910","45","CHALLENGE","3","44","45","16180","120546","1244601","1","6","9376","151"
"sample","2","20260910","46","ADVANCE_ROUND","0","45","46","24957","92954","1012257","2","5","9190","0"
"sample","2","20260910","47","PLAY_ONE","3","46","47","24276","68889","1103708","1","6","9449","173"
"sample","2","20260910","48","CHALLENGE","4","47","48","18244","55975","1128864","1","6","9165","151"
"sample","2","20260910","49","ADVANCE_ROUND","0","48","49","25828","65122","1065035","2","5","9021","0"
"sample","2","20260910","50","PLAY_ONE","0","49","50","25768","85871","1179179","2","5","9154","0"
"sample","2","20260910","51","CHALLENGE","3","50","51","15990","80331","1099179","1","6","9206","151"
"sample","2","20260910","52","ADVANCE_ROUND","0","51","52","51056","205465","1067700","2","5","9035","0"
"sample","2","20260910","53","PLAY_ONE","3","52","53","23023","74690","1054695","1","6","9295","173"
"sample","2","20260910","54","CHALLENGE","0","53","54","23404","64160","1003870","2","5","9005","0"
"sample","3","20260910","0","INITIAL","0","0","0",,"5370","681","1","0","0","0"
"sample","3","20260910","1","JOIN","1","0","1",,"67086","106770","1","1","599","192"
"sample","3","20260910","2","JOIN","2","1","2",,"43250","351709","1","2","1225","192"
"sample","3","20260910","3","JOIN","3","2","3",,"43942","304951","1","3","1998","193"
"sample","3","20260910","4","JOIN","4","3","4",,"46227","385142","1","4","2917","193"
